id,video,date,time,tank_side,of_start,of_end,no_start,no_end,fps,adj_top_of,adj_right_of,adj_top_no,adj_right_no,of_video_length,no_video_length,bgsub_of_q1,bgsub_of_q2,bgsub_of_q3,bgsub_of_q4,bgsub_no_q1,bgsub_no_q2,bgsub_no_q3,bgsub_no_q4,bgsub_mode_of_q1,bgsub_mode_of_q2,bgsub_mode_of_q3,bgsub_mode_of_q4,bgsub_mode_no_q1,bgsub_mode_no_q2,bgsub_mode_no_q3,bgsub_mode_no_q4,intensity_floor_of_q1,intensity_floor_of_q2,intensity_floor_of_q3,intensity_floor_of_q4,intensity_floor_no_q1,intensity_floor_no_q2,intensity_floor_no_q3,intensity_floor_no_q4,intensity_ceiling_of_q1,intensity_ceiling_of_q2,intensity_ceiling_of_q3,intensity_ceiling_of_q4,intensity_ceiling_no_q1,intensity_ceiling_no_q2,intensity_ceiling_no_q3,intensity_ceiling_no_q4,area_floor_of_q1,area_floor_of_q2,area_floor_of_q3,area_floor_of_q4,area_floor_no_q1,area_floor_no_q2,area_floor_no_q3,area_floor_no_q4,area_ceiling_of_q1,area_ceiling_of_q2,area_ceiling_of_q3,area_ceiling_of_q4,area_ceiling_no_q1,area_ceiling_no_q2,area_ceiling_no_q3,area_ceiling_no_q4,cab_coords_of_q1,cab_coords_of_q2,cab_coords_of_q3,cab_coords_of_q4,cab_coords_no_q1,cab_coords_no_q2,cab_coords_no_q3,cab_coords_no_q4,ref,test
20190613_1054_icab_hdr_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_1054_icab_hdr_R.avi,20190613,1054,R,3575,21575,23050,41050,30,2,8,2,6,19193,18137,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Left,Left,Right,Left,Top,Top,Right,icab,hdr
20190613_1126_icab_hdr_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_1126_icab_hdr_R.avi,20190613,1126,R,3069,21069,22024,40024,30,-4,0,1,3,18395,18334,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Left,Bottom,Bottom,Bottom,Right,Left,Right,icab,hdr
20190613_1307_icab_hdr_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_1307_icab_hdr_R.avi,20190613,1307,R,3198,21198,22646,40646,30,0,10,-5,7,18811,18500,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Top,Top,Right,Bottom,Left,Bottom,Right,icab,hdr
20190613_1338_icab_ho5_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_1338_icab_ho5_R.avi,20190613,1338,R,2829,20829,21826,39826,30,3,10,3,7,18511,18329,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,30,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Left,Left,Right,Right,Top,Bottom,Bottom,icab,ho5
20190613_1420_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_1420_icab_hni_R.avi,20190613,1420,R,3467,21467,22528,40528,30,0,10,0,10,18688,18257,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Bottom,Top,Bottom,Right,Right,Right,Top,Right,icab,hni
20190613_1511_icab_hdr_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_1511_icab_hdr_L.avi,20190613,1511,L,2779,20779,23382,41382,30,-1,-6,-1,-8,20058,18296,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Top,Right,Right,Top,Bottom,Bottom,Left,icab,hdr
20190613_1546_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_1546_icab_hni_R.avi,20190613,1546,R,2750,20750,22519,40519,30,5,10,1,7,19275,18472,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Left,Right,Left,Left,Top,Left,icab,hni
20190613_1617_icab_ho5_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_1617_icab_ho5_L.avi,20190613,1617,L,2921,20921,22096,40096,30,3,-2,-1,-7,18697,18452,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Left,Top,Bottom,Left,Left,Left,Bottom,Bottom,icab,ho5
20190613_1648_icab_ho5_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190613_1648_icab_ho5_R.avi,20190613,1648,R,2454,20454,21655,39655,30,0,12,0,6,18787,18244,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Top,Bottom,Bottom,Left,Bottom,Bottom,Top,icab,ho5
20190614_1108_icab_ho5_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190614_1108_icab_ho5_L.avi,20190614,1108,L,2642,20642,21608,39608,30,5,-1,4,-2,18476,19090,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Right,Bottom,Top,Top,Right,Top,Top,icab,ho5
20190614_1139_icab_hni_R,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190614_1139_icab_hni_R.avi,20190614,1139,R,2575,20575,21777,39777,30,3,10,3,8,18814,18330,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Top,Top,Left,Bottom,Bottom,Right,Top,icab,hni
20190614_1208_icab_icab_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190614_1208_icab_icab_L.avi,20190614,1208,L,2533,20533,22103,40103,30,2,0,2,-5,19217,18846,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Right,Right,Bottom,Top,,,,,icab,icab
20190614_1237_icab_hdr_L,/nfs/research/birney/users/saul/raw_data/behavioural_project/pilot/20190614_1237_icab_hdr_L.avi,20190614,1237,L,2096,20096,21082,39082,30,5,6,0,-2,18676,18497,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,median,median,median,median,median,median,median,median,0,0,0,0,0,0,0,0,15,15,15,15,15,15,15,15,10,10,10,10,10,10,10,10,1000,1000,1000,1000,1000,1000,1000,1000,Top,Right,Bottom,Right,Top,Left,Bottom,Bottom,icab,hdr
